hs6,chapter,heading,description
610453,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - skirts and divided skirts : -- of synthetic fibres"
610459,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - skirts and divided skirts : -- of other textile materials"
610461,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - trousers, bib and brace overalls, breeches and shorts : -- of wool or fine animal hair"
610462,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - trousers, bib and brace overalls, breeches and shorts : -- of cotton"
610463,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - trousers, bib and brace overalls, breeches and shorts : -- of synthetic fibres"
610469,61,6104,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - trousers, bib and brace overalls, breeches and shorts : -- of other textile materials"
610510,61,6105,"mens or boys shirts, knitted or crocheted. - of cotton"
610520,61,6105,"mens or boys shirts, knitted or crocheted. - of man-made fibres"
610590,61,6105,"mens or boys shirts, knitted or crocheted. - of other textile materials"
610610,61,6106,"womens or girls blouses, shirts and shirt-blouses, knitted or crocheted. - of cotton"
610620,61,6106,"womens or girls blouses, shirts and shirt-blouses, knitted or crocheted. - of man-made fibres"
610690,61,6106,"womens or girls blouses, shirts and shirt-blouses, knitted or crocheted. - of other textile materials"
610711,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - underpants and briefs : -- of cotton"
610712,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - underpants and briefs : -- of man-made fibres"
610719,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - underpants and briefs : -- of other textile materials"
610721,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightshirts and pyjamas : -- of cotton"
610722,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightshirts and pyjamas : -- of man-made fibres"
610729,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - nightshirts and pyjamas : -- of other textile materials"
610791,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - other : -- of cotton"
610799,61,6107,"mens or boys underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted. - other : -- of other textile materials"
